id,name,city,video,time_of_day,start_time,end_time
1,Toronto1,Toronto,3ai7SUaPoHM,0,27,3250
1,Toronto2,Toronto,lmLWoDdQgtQ,0,25,2134
1,Toronto3,Toronto,oAsf9lqI1E4,0,25,2256
1,Toronto4,Toronto,iwD2qmNcm6k,0,27,2335
1,Toronto5,Toronto,qBH_yfaRqRw,0,26,2275
1,Toronto6,Toronto,q2vQ9woF8EQ,0,26,2618
1,Toronto7,Toronto,Ih1i-wzVP80,0,25,2148
1,Toronto8,Toronto,_e0RQL7NJZg,0,25,2505
1,Toronto9,Toronto,9mecWLY_MC4,0,25,2204
1,Toronto10,Toronto,tQtUvSZiZGg,0,25,2409
1,Toronto11,Toronto,STbVEZMJdC0,0,25,2354
1,Toronto12,Toronto,mtz_eM73GS0,1,18,5002
1,Toronto13,Toronto,85WR7ShMImc,0,41,5194
1,Toronto14,Toronto,zqK4JD8jTRI,0,1589,2716
1,Toronto15,Toronto,M90zqeXFxOU,0,12,3141
1,Toronto16,Toronto,Zbm0Z6nw5sE,0,33,4344
1,Toronto17,Toronto,dNtnPFCrBso,1,28,3643
1,Toronto18,Toronto,Cmp39Cd3t7I,0,1810,2559
1,Toronto19,Toronto,uythoULSBqc,0,22,5079
1,Toronto20,Toronto,8EuKqdYIXrI,0,24,2255
1,Toronto21,Toronto,AfsK9ppIUxU,0,0,743
1,Toronto22,Toronto,Gv93gllQhw8,0,0,729
1,Toronto23,Toronto,yUfB6DgPuhU,0,0,497
1,Toronto24,Toronto,YDV0-0MDhpI,0,0,602
1,Toronto25,Toronto,9dFMrpQea4w,0,0,310
1,Toronto26,Toronto,ZspPA8fgAwI,0,0,347
1,Toronto27,Toronto,5dMD26Orh38,0,0,604
1,Toronto28,Toronto,Z3F-9JY3fb0,0,0,706
1,Toronto29,Toronto,50Uf_T12OGY,0,0,1265
1,Toronto30,Toronto,KCPpnNRgOg8,0,0,427
1,Toronto31,Toronto,ZCvpq5VklP0,0,6177,7045
1,Toronto32,Toronto,8WKPEiVNX-c,0,41,740
1,Toronto33,Toronto,ODLXf2NGjI0,0,235,1309
1,Toronto34,Toronto,a3ZTrLWuRDA,0,0,1660
1,Toronto35,Toronto,JlDfyApwes0,0,0,637
1,Toronto36,Toronto,-q4HsMWnIrU,0,0,611
1,Toronto37,Toronto,zZZTEQOOfoM,0,0,1813
1,Toronto38,Toronto,YRZvZuzx1Iw,0,30,760
1,Toronto39,Toronto,KRtnTJKAqas,0,0,2562
1,Toronto40,Toronto,GnwVp7dAeFA,0,0,1729
1,Toronto41,Toronto,7FyLjTGYogU,1,23,2654
1,Toronto42,Toronto,6qYAIRf4D-I,0,22,226
1,Toronto43,Toronto,52RJf5MAQFY,0,22,1578
1,Toronto44,Toronto,9qEihHqoDoM,1,26,3106
1,Toronto45,Toronto,ITBPp9q2I9w,0,23,3200
2,Jakarta1,Jakarta,gmDBzijaIAA,0,29,2968
2,Jakarta2,Jakarta,1pVb62M-RLI,0,0,868
2,Jakarta3,Jakarta,AppxCYZbyLo,0,0,570
2,Jakarta4,Jakarta,x6Dxv-rNbaw,0,0,641
2,Jakarta5,Jakarta,CwJQXjiXtRE,0,0,806
2,Jakarta6,Jakarta,3ekXQoPqgjI,0,34,2738
3,Manila1,Manila,JY-Xyiept88,0,43,4844
3,Manila2,Manila,z6EGkbnUxSQ,0,25,3437
3,Manila3,Manila,2tfyoN70EHo,0,49,4896
3,Manila4,Manila,F7heBWT2QVM,0,28,3600
3,Manila5,Manila,IhmOCrdAdfA,0,0,527
3,Manila6,Manila,ct0xmT226Kk,0,0,449
3,Manila7,Manila,pp8Nz5yvft4,0,0,409
3,Manila8,Manila,Z2cV43H0WHM,0,12,1605
3,Manila9,Manila,0PGzvVw8R00,0,8,820
3,Manila10,Manila,wwVA_jA1uAQ,0,12,4286
3,Manila11,Manila,BxU8j0RcsRg,0,5,1603
3,Manila12,Manila,A6oTbgZ512o,0,7,1470
3,Manila13,Manila,DATXRwzTDa0,0,10,1622
4,Sydney1,Sydney,wMu6Va5PhGY,0,41,3040
4,Sydney2,Sydney,jTyfIV2wres,0,10,2362
4,Sydney3,Sydney,_fxg06j8SNY,1,30,2172
4,Sydney4,Sydney,nHr0xATCG6M,0,90,2419
4,Sydney5,Sydney,c8_3MOnkmYg,0,60,1200
4,Sydney6,Sydney,g_JpzvbivK4,0,0,659
4,Sydney7,Sydney,FO5fob8rKXY,0,0,1439
4,Sydney8,Sydney,SrvXvT_jhDI,0,24,1054
4,Sydney9,Sydney,gtn3vErIXvg,0,0,960
4,Sydney10,Sydney,U1N_32C5HrU,0,0,886
4,Sydney11,Sydney,UAbJptYf7f8,0,0,1080
4,Sydney12,Sydney,Z4WoVwgIymw,0,0,1591
4,Sydney13,Sydney,ImcOwKwf7kE,0,0,771
4,Sydney14,Sydney,q21Kj-pxJW4,0,23,4098
5,Melbourne1,Melbourne,81n46krHrQA,0,42,2964
5,Melbourne2,Melbourne,gQ-9mmnfJjE,0,0,1835
5,Melbourne3,Melbourne,u_9_W9H04Ds,0,25,1665
5,Melbourne4,Melbourne,vhn1Y4BdRTM,0,25,1498
5,Melbourne5,Melbourne,lIziwOj5bjs,0,25,2046
5,Melbourne6,Melbourne,zUBJ0_X0kzw,0,10,2480
5,Melbourne7,Melbourne,z4htt-TfFvs,0,45,1500
5,Melbourne8,Melbourne,hZuBirep6cA,0,150,4000
5,Melbourne9,Melbourne,c7f7C3m8FNw,0,33,3589
5,Melbourne10,Melbourne,jYC9LnY07Ic,0,0,1300
5,Melbourne11,Melbourne,FyFH9wI2LY0,1,0,1357
5,Melbourne12,Melbourne,KfXM62BZq_w,0,0,1141
5,Melbourne13,Melbourne,sGXRaUVPnrw,1,30,476
5,Melbourne14,Melbourne,L1W8r5GOCj4,0,0,534
5,Melbourne15,Melbourne,HnKvw8m50Go,0,0,573
5,Melbourne16,Melbourne,90KvAN4mYBE,1,0,485
5,Melbourne17,Melbourne,4otU7KJEsL0,0,0,977
5,Melbourne18,Melbourne,8iNGvHpZRMw,1,0,510
5,Melbourne19,Melbourne,Q_GZ-0gblE8,0,0,711
5,Melbourne20,Melbourne,xOpxaCBSiIw,0,0,1207
5,Melbourne21,Melbourne,Sjiw-1zMgrs,0,0,1080
5,Melbourne22,Melbourne,pCsMWqWwFPE,0,0,824
6,Cincinnati1,Cincinnati,G1I_PlmL_YA,0,78,2729
6,Cincinnati2,Cincinnati,G3SVBflqEjI,0,0,300
6,Cincinnati3,Cincinnati,2TKhfRIb0Hg,0,0,420
6,Cincinnati4,Cincinnati,4OftD5ni7XA,0,0,1116
7,Brisbane1,Brisbane,9pPBmcKvFOc,0,23,2922
8,Monaco1,Monaco,ij6xccYYIuE,1,22,1875
8,Monaco2,Monaco,1oAR3mVJmww,1,46,2915
8,Monaco3,Monaco,tp3mSn9B6SY,0,38,3111
8,Monaco4,Monaco,HGk2D7t7SMA,1,44,2917
8,Monaco5,Monaco,VWM02zJLYvY,1,29,1956
8,Monaco6,Monaco,lYniyR3aU_g,1,0,1428
8,Monaco7,Monaco,Xs6HbiKCFZ0,0,0,1541
8,Monaco8,Monaco,0Jlebs29SOc,0,3659,4500
9,Milan1,Milan,ZByZSqoqzaI,0,18,3333
9,Milan2,Milan,sUEOso36Hzk,0,105,4260
9,Milan3,Milan,iu9XjZuA1HE,0,7,2736
9,Milan4,Milan,I56HOvnoYMQ,0,342,3229
9,Milan5,Milan,9IoroeGhXtg,0,20,287
